toplam_maliyet,siparis_maliyeti_toplam,elde_tutma_toplam,stoksuz_ceza_toplam,servis_seviyesi,ortalama_stok,stoksuz_gun_sayisi,toplam_talep,karsilanan_talep,parca_no,kullanilan_r,kullanilan_Q,senaryo
72539.3572,1840.0,11603.5523,59095.8049,0.985,4442.1584,1.5,18916.1158,18551.3944,Part-108,7126,1987,mevcut
119520.7799,2915.0,58972.9357,57632.8442,0.9915,2671.1349,0.2,5887.4846,5829.4659,Part-109,5221,154,mevcut
315755.7707,4990.0,77159.4394,233606.3313,0.9847,3504.8121,0.8,16187.1805,15872.6524,Part-110,5884,311,mevcut
524969.2031,3085.0,54063.2211,467820.982,0.9443,1457.1231,2.7,7531.5244,6983.8465,Part-111,3452,134,mevcut
70264.8923,1080.0,4595.7861,64589.1062,0.9448,2129.3687,2.5,7506.5982,7033.8681,Part-112,2954,754,mevcut
52194.0983,2090.0,40087.6776,10016.4207,0.999,2717.0718,0.1,10015.5395,10002.5979,Part-113,3977,483,mevcut
671388.9365,3970.0,110751.7114,556667.2251,0.9808,2580.3103,1.2,10368.8713,10114.7062,Part-114,4717,271,mevcut
40539.819,2250.0,6693.7067,31596.1123,0.9772,1672.9487,1.4,6432.4224,6247.5525,Part-115,2200,1422,mevcut
473589.8519,1845.0,29691.0683,442053.7837,0.9534,1461.524,2.5,8348.7401,7864.9603,Part-116,2843,312,mevcut
59727.9298,3040.0,34755.0471,21932.8827,0.9959,3314.6043,0.2,12962.9959,12895.0207,Part-117,5414,843,mevcut
316513285.3116,9000.0,291364.473,316212920.8386,0.5569,1208.0474,26.0,33458.285,18050.3786,Part-118,13054,142,mevcut
210681.3803,4000.0,111306.2112,95375.1691,0.9929,3783.3886,0.7,5464.37,5413.5748,Part-119,6487,258,mevcut
57237763.534,6750.0,466126.0012,56764887.5328,0.7182,720.9127,5.6,7118.866,4849.0068,Part-120,6173,46,mevcut
118098.6255,2310.0,16162.6973,99625.9282,0.9768,777.1542,1.9,4183.1303,4058.3421,Part-121,1555,295,mevcut
41992.3979,1800.0,31745.3898,8447.0081,0.9977,2015.2513,0.4,4156.3268,4141.5103,Part-122,3060,308,mevcut
8701125.1287,15300.0,790075.4805,7895749.6482,0.9461,2188.3859,0.9,7700.4643,7118.7498,Part-123,4387,92,mevcut
63524.8407,4000.0,5790.1931,53734.6476,0.9686,1417.6758,3.5,8292.7506,7973.1108,Part-124,2686,1161,mevcut
11240231.103,4290.0,432564.987,10803376.116,0.8743,1310.3384,2.8,5244.7043,4435.5741,Part-125,1748,46,mevcut
331353.5153,3382.5,87989.533,239981.4823,0.9913,2756.2313,0.4,9664.4653,9558.5885,Part-126,4745,216,mevcut
324251.9381,2840.0,63236.3903,258175.5478,0.9839,2078.6889,0.3,5757.012,5615.397,Part-127,3530,252,mevcut
26990523.391,9000.0,389778.3907,26591745.0003,0.8342,1296.012,4.4,11805.8022,9597.3212,Part-128,6448,111,mevcut
150170276.057,9000.0,773904.6246,149387371.4324,0.6132,1382.983,7.6,15147.7232,8768.6526,Part-129,8656,60,mevcut
46267.567,5700.0,40567.567,0.0,1.0,3200.2724,0.0,6096.8305,6096.8305,Part-130,4150,771,mevcut
14973800.2372,17180.0,341807.5153,14614812.7219,0.923,722.6163,5.0,6646.3939,6030.9183,Part-131,2551,73,mevcut
62370.6876,7650.0,54720.6876,0.0,1.0,3782.9345,0.0,5386.6025,5386.6025,Part-132,5430,574,mevcut
