parca_no,mevcut_r,mevcut_Q,onerilen_r,onerilen_Q,optimize_maliyet,servis_seviyesi,ortalama_stok,stoksuz_gun,hedef_servis_saglandir,r_degisimi,Q_degisimi,mevcut_maliyet,maliyet_tasarrufu,tasarruf_orani
Part-91,4369,767,3729,3200,18376.29,0.9921,3288.9523,0.7,True,-640,2433,25841.1096,7464.82,28.89
Part-92,15968,182,17926,12294,4230944.15,0.9999,12723.9393,0.1,True,1958,12112,305072704.2824,300841760.13,98.61
Part-93,4806,456,5429,1412,84116.93,1.0,3572.2341,0.0,True,623,956,298169.7194,214052.79,71.79
Part-94,1681,148,2168,703,226584.4,1.0,1307.0914,0.0,True,487,555,2901097.122,2674512.72,92.19
Part-95,3845,195,4909,1895,577291.82,0.9958,2859.4447,0.2,True,1064,1700,2721539.1582,2144247.34,78.79
Part-96,4863,44,3565,2635,1429452.93,1.0,3225.5662,0.0,True,-1298,2591,21985622.8846,20556169.95,93.5
Part-97,5211,210,7823,2230,1775835.34,0.9889,4714.0049,1.2,True,2612,2020,9848288.8522,8072453.51,81.97
Part-98,5133,287,5309,2968,107436.9,1.0,4554.2749,0.0,True,176,2681,477158.0058,369721.11,77.48
Part-99,4016,57,3933,967,2797337.55,0.9903,2393.6845,0.8,True,-83,910,25379337.8343,22582000.28,88.98
Part-100,9468,157,7600,11604,2749682.83,0.9924,8238.032,0.7,True,-1868,11447,29679227.1697,26929544.34,90.74
Part-101,2962,605,3340,1051,13852.17,0.9903,1907.6592,0.6,True,378,446,22213.7647,8361.59,37.64
Part-102,5182,1476,5552,2974,14941.57,1.0,4787.5716,0.0,True,370,1498,30509.4509,15567.88,51.03
Part-103,3795,563,3495,1230,10286.22,0.9989,2839.5422,0.1,True,-300,667,15174.806,4888.59,32.22
Part-104,2965,99,3514,2725,1770307.94,0.9986,3062.3134,0.1,True,549,2626,16337634.1305,14567326.19,89.16
Part-105,7035,130,9506,3037,2530813.39,1.0,5667.4372,0.0,True,2471,2907,117079319.4325,114548506.04,97.84
Part-106,13019,75,4306,3283,1990507.12,1.0,3862.3042,0.0,True,-8713,3208,21835289.0223,19844781.9,90.88
Part-107,4126,429,4594,3563,46518.44,0.9988,4050.5243,0.1,True,468,3134,203193.6548,156675.21,77.11
Part-108,7126,1987,8596,2506,16688.93,1.0,5768.7987,0.0,True,1470,519,72539.3572,55850.43,76.99
Part-109,5221,154,3387,1868,105716.66,0.9939,2657.6791,0.1,True,-1834,1714,119520.7799,13804.12,11.55
Part-110,5884,311,6285,2289,109341.92,1.0,4931.2064,0.0,True,401,1978,315755.7707,206413.85,65.37
Part-111,3452,134,4934,1046,216384.53,0.9867,3150.7272,1.2,True,1482,912,524969.2031,308584.67,58.78
Part-112,2954,754,3692,2413,8484.2,0.9993,3297.5701,0.1,True,738,1659,70264.8923,61780.69,87.93
Part-113,3977,483,4007,1428,46922.02,1.0,3128.7799,0.0,True,30,945,52194.0983,5272.08,10.1
Part-114,4717,271,5008,1492,208944.02,0.9978,3338.885,0.1,True,291,1221,671388.9365,462444.92,68.88
Part-115,2200,1422,2483,3017,11255.49,1.0,2500.6576,0.0,True,283,1595,40539.819,29284.33,72.24
Part-116,2843,312,3971,1223,74963.95,0.9978,2613.1072,0.2,True,1128,911,473589.8519,398625.9,84.17
Part-117,5414,843,5361,1923,39939.1,1.0,3675.4915,0.0,True,-53,1080,59727.9298,19788.83,33.13
Part-118,13054,142,14341,4726,12966222.3,0.987,8307.3401,1.6,True,1287,4584,316513285.3116,303547063.01,95.9
Part-119,6487,258,3066,2632,175952.93,0.9929,2728.0264,0.7,True,-3421,2374,210681.3803,34728.45,16.48
Part-120,6173,46,3899,3455,4164630.58,0.9918,3479.2197,0.7,True,-2274,3409,57237763.534,53073132.95,92.72
Part-121,1555,295,1894,700,56596.2,0.993,1204.8258,0.8,True,339,405,118098.6255,61502.43,52.08
Part-122,3060,308,2187,1629,30887.3,1.0,1939.1947,0.0,True,-873,1321,41992.3979,11105.1,26.45
Part-123,4387,92,4627,2225,1329567.04,1.0,3680.2006,0.0,True,240,2133,8701125.1287,7371558.09,84.72
Part-124,2686,1161,3378,3423,40574.91,0.9835,2682.9011,1.7,True,692,2262,63524.8407,22949.93,36.13
Part-125,1748,46,1909,1243,706812.05,1.0,2140.1868,0.0,True,161,1197,11240231.103,10533419.05,93.71
Part-126,4745,216,4821,1293,107853.85,1.0,3358.7373,0.0,True,76,1077,331353.5153,223499.67,67.45
Part-127,3530,252,2722,2433,114443.54,0.997,2400.6815,0.1,True,-808,2181,324251.9381,209808.4,64.71
Part-128,6448,111,5886,3677,3199268.19,0.9889,4430.2486,0.8,True,-562,3566,26990523.391,23791255.2,88.15
Part-129,8656,60,10621,3986,7025845.3,0.9944,7896.2722,0.1,True,1965,3926,150170276.057,143144430.76,95.32
Part-130,4150,771,2904,1939,35618.54,1.0,2648.1368,0.0,True,-1246,1168,46267.567,10649.03,23.02
Part-131,2551,73,2925,1195,2632126.4,0.9913,1832.4352,1.0,True,374,1122,14973800.2372,12341673.84,82.42
Part-132,5430,574,2836,2223,38881.24,1.0,2573.8589,0.0,True,-2594,1649,62370.6876,23489.45,37.66
